station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
RCA,2020-02-12 18:06,-103.1036,44.1451,977.43,15.80,10.40,78.84,360.00,14.00,0.00,30.15,1025.60,1.50,M,FEW,OVC,M,M,400.00,1400.00,M,M,-SN,M,M,M,M,M,M,0.28,KRCA 121806Z 36014KT 1 1/2SM -SN FEW004 OVC014 M09/M12 A3015 RMK AO2A CIG 003 RWY13 SLP256 $
ATY,2020-02-12 18:09,-97.1547,44.9140,525.88,0.00,-5.10,78.48,360.00,25.00,0.00,30.01,M,0.50,33.00,BKN,OVC,M,M,800.00,1300.00,M,M,HZ,M,M,M,33.00,350.00,2020-02-12 18:04,-25.51,KATY 121809Z AUTO 36025G33KT 1/2SM HZ BKN008 OVC013 M18/M21 A3001 RMK AO2 PK WND 35033/1804 T11781206
RCA,2020-02-12 18:11,-103.1036,44.1451,977.43,15.80,10.40,78.84,360.00,15.00,0.00,30.15,1025.60,1.38,M,FEW,OVC,M,M,400.00,1400.00,M,M,-SN,M,M,M,M,M,M,-0.22,KRCA 121811Z 36015KT 1 3/8SM -SN FEW004 OVC014 M09/M12 A3015 RMK AO2A CIG 003 RWY13 SLP256 $
HON,2020-02-12 18:14,-98.2286,44.3852,384.37,3.20,-0.40,84.56,360.00,25.00,0.00,30.10,M,0.25,40.00,VV ,M,M,M,900.00,M,M,M,FZFG BLSN,M,M,M,M,M,M,-21.18,KHON 121814Z AUTO 36025G40KT 1/4SM FZFG BLSN VV009 M16/M18 A3010
PIR,2020-02-12 18:14,-100.2860,44.3827,522.03,5.00,-2.00,72.18,360.00,23.00,0.00,30.20,M,2.00,34.00,FEW,BKN,M,M,900.00,5000.00,M,M,HZ,M,M,M,35.00,360.00,2020-02-12 18:02,-17.98,KPIR 121814Z AUTO 36023G34KT 2SM HZ FEW009 BKN050 M15/M19 A3020 RMK AO2 PK WND 36035/1802 VIS 1 1/4V4 T11501189 PWINO FZRANO
MDS,2020-02-12 18:15,-97.0859,44.0160,520.80,8.60,8.60,100.00,10.00,24.00,0.03,29.95,M,0.50,30.00,OVC,M,M,M,800.00,M,M,M,SN,M,M,M,M,M,M,-13.51,KMDS 121815Z AUTO 01024G30KT 1/2SM SN OVC008 M13/M13 A2995 RMK AO2 P0003
9V9,2020-02-12 18:15,-99.3183,43.7667,509.76,12.60,8.40,82.92,360.00,22.00,0.00,30.09,M,0.75,28.00,OVC,M,M,M,1000.00,M,M,M,-SN,M,M,M,M,M,M,-7.40,K9V9 121815Z AUTO 36022G28KT 3/4SM -SN OVC010 M11/M13 A3009 RMK AO2 T11081131
SPF,2020-02-12 18:15,-103.7830,44.4803,1186.17,14.00,8.60,78.68,340.00,5.00,0.00,30.14,M,1.00,M,SCT,SCT,M,M,1400.00,2100.00,M,M,-SN,M,M,M,M,M,M,5.02,KSPF 121815Z AUTO 34005KT 1SM -SN SCT014 SCT021 M10/M13 A3014 RMK AO2
RCA,2020-02-12 18:16,-103.1036,44.1451,977.43,15.80,10.40,78.84,360.00,15.00,0.00,30.15,1025.60,1.62,M,SCT,OVC,M,M,400.00,1700.00,M,M,-SN,M,M,M,M,M,M,-0.22,KRCA 121816Z 36015KT 1 5/8SM -SN SCT004 OVC017 M09/M12 A3015 RMK AO2A CIG 003 RWY13 SLP256 $
ICR,2020-02-12 18:17,-99.8422,43.3903,611.93,15.10,8.10,73.31,350.00,22.00,T,30.10,M,1.50,32.00,SCT,OVC,M,M,1200.00,2100.00,M,M,-SN,M,M,M,32.00,360.00,2020-02-12 18:08,-4.05,KICR 121817Z AUTO 35022G32KT 1 1/2SM -SN SCT012 OVC021 M09/M13 A3010 RMK AO2 PK WND 36032/1808 P0000 T10941133 $
ABR,2020-02-12 18:18,-98.4200,45.4500,395.00,-0.90,-9.90,64.81,360.00,25.00,T,30.21,M,3.00,35.00,BKN,M,M,M,1200.00,M,M,M,HZ,M,M,M,36.00,360.00,2020-02-12 17:58,-26.73,KABR 121818Z AUTO 36025G35KT 3SM HZ BKN012 M18/M23 A3021 RMK AO2 PK WND 36036/1758 UPB00E18 P0000 T11831233
RCA,2020-02-12 18:21,-103.1036,44.1451,977.43,15.80,10.40,78.84,360.00,12.00,0.00,30.15,1025.60,1.88,M,SCT,OVC,M,M,400.00,1700.00,M,M,-SN,M,M,M,M,M,M,1.38,KRCA 121821Z 36012KT 1 7/8SM -SN SCT004 OVC017 M09/M12 A3015 RMK AO2A VIS 1 3/8V1 7/8 CIG 003 RWY13 SLP256 $
