station,valid,tmpc,relh,sknt,gust
RDR,2019-12-29 00:26,-6.00,92.63,10.00,M
RDR,2019-12-29 00:36,-6.00,92.63,10.00,M
RDR,2019-12-29 00:46,-6.00,92.63,11.00,M
RDR,2019-12-29 00:50,-6.00,92.63,12.00,M
RDR,2019-12-29 01:06,-6.00,92.63,11.00,M
RDR,2019-12-29 01:15,-6.00,92.63,12.00,M
RDR,2019-12-29 01:55,-6.00,92.63,11.00,M
RDR,2019-12-29 01:56,-6.22,92.61,11.00,M
RDR,2019-12-29 02:56,-6.22,92.61,12.00,M
RDR,2019-12-29 03:56,-6.50,92.60,14.00,M
RDR,2019-12-29 04:16,-6.00,92.63,15.00,M
RDR,2019-12-29 04:26,-7.00,92.57,14.00,M
RDR,2019-12-29 04:56,-6.50,92.60,14.00,M
RDR,2019-12-29 05:16,-7.00,92.57,17.00,M
RDR,2019-12-29 05:26,-7.00,92.57,18.00,M
RDR,2019-12-29 05:36,-7.00,92.57,19.00,M
RDR,2019-12-29 05:56,-6.78,92.58,17.00,M
RDR,2019-12-29 06:26,-7.00,92.57,16.00,M
RDR,2019-12-29 06:36,-7.00,92.57,15.00,M
RDR,2019-12-29 06:46,-7.00,92.57,15.00,22.00
RDR,2019-12-29 06:56,-6.72,92.58,15.00,M
RDR,2019-12-29 07:16,-7.00,92.57,14.00,M
RDR,2019-12-29 07:26,-7.00,92.57,16.00,M
RDR,2019-12-29 07:36,-7.00,92.57,18.00,M
RDR,2019-12-29 07:56,-6.72,94.19,17.00,M
RDR,2019-12-29 08:06,-7.00,92.57,19.00,M
RDR,2019-12-29 08:16,-7.00,92.57,19.00,24.00
RDR,2019-12-29 08:26,-7.00,92.57,18.00,M
RDR,2019-12-29 08:36,-7.00,100.00,18.00,M
RDR,2019-12-29 08:46,-7.00,92.57,20.00,M
RDR,2019-12-29 08:56,-6.78,93.78,22.00,27.00
RDR,2019-12-29 09:26,-7.00,92.57,23.00,27.00
RDR,2019-12-29 09:36,-7.00,92.57,22.00,28.00
RDR,2019-12-29 09:46,-7.00,92.57,20.00,M
RDR,2019-12-29 09:56,-7.11,92.56,23.00,M
RDR,2019-12-29 10:06,-7.00,92.57,22.00,M
RDR,2019-12-29 10:16,-7.00,92.57,21.00,26.00
RDR,2019-12-29 10:26,-7.00,92.57,24.00,31.00
RDR,2019-12-29 10:36,-7.00,92.57,23.00,M
RDR,2019-12-29 10:46,-7.00,92.57,22.00,31.00
RDR,2019-12-29 10:56,-7.11,92.56,19.00,31.00
RDR,2019-12-29 11:16,-7.00,92.57,21.00,M
RDR,2019-12-29 11:26,-7.00,92.57,23.00,29.00
RDR,2019-12-29 11:36,-7.00,92.57,23.00,29.00
RDR,2019-12-29 11:46,-7.00,92.57,24.00,33.00
RDR,2019-12-29 11:51,-7.00,92.57,23.00,31.00
RDR,2019-12-29 11:56,-7.22,92.55,22.00,29.00
RDR,2019-12-29 12:01,-7.00,92.57,24.00,29.00
RDR,2019-12-29 12:11,-7.00,92.57,23.00,29.00
RDR,2019-12-29 12:21,-7.00,92.57,22.00,29.00
RDR,2019-12-29 12:31,-7.00,92.57,24.00,29.00
RDR,2019-12-29 12:36,-7.00,92.57,23.00,29.00
RDR,2019-12-29 12:41,-7.00,92.57,24.00,30.00
RDR,2019-12-29 12:46,-7.00,92.57,25.00,30.00
RDR,2019-12-29 12:56,-7.11,92.56,24.00,30.00
RDR,2019-12-29 13:06,-7.00,92.57,25.00,31.00
RDR,2019-12-29 13:26,-7.00,92.57,25.00,32.00
RDR,2019-12-29 13:46,-8.00,92.50,27.00,34.00
RDR,2019-12-29 13:56,-7.89,91.71,25.00,32.00
RDR,2019-12-29 14:06,-8.00,92.50,27.00,34.00
RDR,2019-12-29 14:11,-8.00,92.50,26.00,33.00
RDR,2019-12-29 14:21,-8.00,92.50,27.00,35.00
RDR,2019-12-29 14:31,-8.00,92.50,25.00,32.00
RDR,2019-12-29 14:36,-8.00,92.50,24.00,32.00
RDR,2019-12-29 14:41,-8.00,92.50,25.00,32.00
RDR,2019-12-29 14:51,-8.00,85.51,25.00,31.00
RDR,2019-12-29 14:56,-8.61,91.26,25.00,31.00
RDR,2019-12-29 15:09,-9.00,92.44,29.00,34.00
RDR,2019-12-29 15:19,-9.00,92.44,28.00,34.00
RDR,2019-12-29 15:29,-9.00,92.44,27.00,35.00
RDR,2019-12-29 15:39,-9.00,92.44,29.00,35.00
RDR,2019-12-29 15:49,-9.00,92.44,29.00,34.00
RDR,2019-12-29 15:56,-8.89,90.84,28.00,34.00
RDR,2019-12-29 16:27,-9.00,92.44,27.00,34.00
RDR,2019-12-29 16:29,-9.00,92.44,26.00,34.00
RDR,2019-12-29 16:36,-9.00,92.44,30.00,37.00
RDR,2019-12-29 16:37,-9.00,92.44,30.00,37.00
RDR,2019-12-29 16:56,-9.28,89.23,28.00,37.00
RDR,2019-12-29 18:01,-9.50,89.60,28.00,34.00
RDR,2019-12-29 18:59,-9.28,89.23,24.00,31.00
RDR,2019-12-29 19:56,-9.28,89.23,26.00,34.00
RDR,2019-12-29 21:03,-8.89,89.65,23.00,31.00
RDR,2019-12-29 21:56,-8.89,89.65,28.00,31.00
RDR,2019-12-29 22:56,-9.22,89.63,26.00,32.00
RDR,2019-12-29 23:56,-9.39,89.61,25.00,31.00
RDR,2019-12-30 00:56,-9.89,88.78,26.00,32.00
RDR,2019-12-30 01:45,-10.00,85.28,26.00,32.00
RDR,2019-12-30 01:56,-10.11,88.76,22.00,29.00
RDR,2019-12-30 02:16,-10.00,92.38,23.00,29.00
RDR,2019-12-30 02:46,-10.00,92.38,23.00,29.00
RDR,2019-12-30 02:56,-9.61,88.80,21.00,M
RDR,2019-12-30 03:56,-9.78,88.79,21.00,28.00
RDR,2019-12-30 04:56,-10.00,88.77,20.00,26.00
RDR,2019-12-30 05:56,-9.78,88.79,22.00,29.00
RDR,2019-12-30 06:56,-9.78,88.79,21.00,26.00
RDR,2019-12-30 07:56,-10.00,87.98,20.00,24.00
RDR,2019-12-30 08:56,-10.39,87.95,20.00,26.00
RDR,2019-12-30 09:56,-10.89,86.33,19.00,28.00
RDR,2019-12-30 10:56,-11.00,85.94,20.00,M
RDR,2019-12-30 11:56,-11.00,85.94,21.00,M
RDR,2019-12-30 12:56,-10.78,85.58,15.00,M
RDR,2019-12-30 13:56,-10.89,84.42,19.00,M
RDR,2019-12-30 14:56,-11.11,84.39,18.00,21.00
RDR,2019-12-30 15:17,-11.00,85.17,18.00,21.00
RDR,2019-12-30 15:27,-11.00,85.17,15.00,M
RDR,2019-12-30 15:46,-11.00,85.17,18.00,M
RDR,2019-12-30 15:56,-11.11,84.01,17.00,M
RDR,2019-12-30 16:31,-11.00,85.17,19.00,M
RDR,2019-12-30 16:32,-11.00,85.17,19.00,M
RDR,2019-12-30 16:49,-10.00,78.68,18.00,23.00
RDR,2019-12-30 16:56,-10.50,82.59,17.00,M
RDR,2019-12-30 17:16,-10.00,78.68,17.00,M
RDR,2019-12-30 18:48,-10.00,78.68,17.00,M
RDR,2019-12-30 18:56,-9.78,80.50,17.00,M
RDR,2019-12-30 19:56,-9.50,80.54,16.00,21.00
RDR,2019-12-30 20:56,-9.11,82.04,18.00,M
RDR,2019-12-30 21:56,-8.28,82.52,17.00,22.00
RDR,2019-12-30 22:56,-7.78,84.79,14.00,M
